"user_id","first_policy","returningpolicies"
"4018b7ec-e16d-48d8-9e53-c63b8e1fe327",4003.9999999999986,2100.04
"414beb1c-9329-495c-a7db-293899aa1178",1441.0,
"43406a3f-b58b-4dfc-b1c6-4aec781a5d6a",6709.280000000001,
"457a37fd-eb8a-4246-a4a6-4727b7b29ec5",2250.0,1985.65
"45cfa680-608d-41dc-9804-880472d53e7e",605.07,1202.06
"4745e36c-d96a-4ece-ac65-7588680f2f37",204.55999999999997,
"475c007e-8641-40aa-a274-759357de0f5c",3438.859999999998,
"49e2d6d9-b662-4d2f-8de6-8e6ad5d5d8ce",5670.0,1260.0
"4a126462-a523-4675-b234-010dceeeeedf",1800.0,
"4cfa0a96-1949-45c3-842d-52aa4f4bddb1",270.0,
"517384f7-de87-4739-9c1b-819d46960dac",391.34999999999985,
"5354d322-f7af-4115-bd19-333ae44cf023",3614.879999999998,
"53e612fd-7af5-41e0-baa2-43bb34b6eda2",2150.919999999999,
"5855a5fd-4236-4ee3-995b-61f17a4f53aa",306.84,1044.89
"58c2eb11-bf6f-485b-a21c-8833d49c7f6f",441.64,4044.0
"5b3f3865-bbfc-4557-9623-eab688f89c69",40.0,
"5c6a82bf-c219-4148-b4f1-c46f90ee7417",49.0,1707.31
"5ee218d5-db80-4d41-83bf-5e45e4b6a9c6",252.27999999999997,1191.19
"5f44b83f-9550-451c-98a2-c59a5305d78a",39.0,
"610c0d27-820b-423d-9f32-0a929f4cc27e",3698.3999999999996,
"6247da6d-9b5e-47cf-b6f1-1920b5305886",99.56,
"67886879-8a8d-4326-96ff-f20326a42b6d",40.59,
"6903a84a-a6cd-4e40-aebf-9c4e327521a9",4197.129999999999,1554.47
"69493d2a-eb80-44f6-b65d-d92d687af3d7",80.0,4355.52
"6aeb0113-6b94-44fe-9b58-3d662ca724de",1012.37,
"6fafd019-15ce-4b2f-9cd5-41935e9da966",184.08,2350.86
"73279a8d-9b77-459f-867a-d3a0c934b4d4",686.0,2208.31
"74653bda-d5fe-4019-9487-b251d77c8d5f",1225.0,163.0
"7c7fc836-9a19-4850-870a-3a0a9ef32215",3360.0,
"84ca654e-6ff1-4821-9a06-0647af792f65",372.36,1876.64
"88ef2674-10e6-418b-8c12-5454c8a052d2",1127.3300000000002,1549.41
"897aa257-9714-416c-955a-c991f65df0ad",1800.0,1088.53
"89b34851-2c1c-4761-a700-8f20e7b21187",250.0,668.75
"92304b21-48fc-4598-a8db-fbb50bbe957e",654.7,1636.69
"935ae553-400a-429e-8091-69c810e710e8",2700.0,
"948e711e-e5f0-4d6b-a0e8-a9085af4a061",3360.0,240.24
"96e3081c-a325-46c1-b582-eb66e2c0f5c0",5145.719999999998,
"9a418e2a-a797-48be-a10b-3968d543fd0e",1372.0,
"9b644944-bf57-4c67-b788-9ca70a5d2e90",124.53,2034.33
"9c9a3779-6db0-4848-89c1-5ac9ecc9b9da",2700.0,2081.49
"9e5bb847-3260-4eb4-a8ab-ff244bec508f",2502.0399999999986,9051.41
a05483e1-4139-4c1b-ac93-6d656fc1ff4b,730.72,2248.04
a3edb126-4455-4f8c-b8b6-fdc7dabb9114,53.19,132.03
a67d84c8-041a-4652-a2dd-3824318d3ac5,2380.5999999999985,2699.51
a7731f48-0cd1-41f6-8da5-a872ec2a6ddf,4834.529999999998,
a77b7686-eb83-4311-bd22-c9aa2a35e027,280.0,
b113be63-7e6b-4199-9619-32a86af03c97,2121.38,1741.61
b433e72d-0555-4e32-b07e-6d56ae349f35,237.0,202.24
b67586ea-efb4-480b-ab0e-e9568b3d6e84,6383.34,3403.4
b9840920-6ae8-4bf0-9d0e-cd111688688f,5108.350000000002,4235.58
ba45288a-3b3a-4e09-a857-10cd2759fbd4,5595.289999999996,
bb5ebf19-25b1-40c1-878d-f99934755f72,373.48,2034.93
bb69cf94-3eca-4007-801b-343e1913d3b1,636.3599999999998,
bbcb9fa0-611d-4de3-abd1-bfc6a963f5be,49.0,336.32
bfc31cf5-b762-49d9-8ba6-9a53d825cb99,1310.58,
c668aee8-2259-479b-a16d-e2dbbc891e0d,80.0,
c87a87ec-ecfe-4296-8173-51f439058494,605.07,2962.72
ca2313e0-1588-46de-bdba-ec7ca8604578,5104.599999999999,4411.41
ca96ea30-6f4c-43c3-8e44-d59b0ded7b4e,257.17999999999995,
ccce8111-4080-4e49-afae-f8f66ff7f34c,3175.050000000001,1514.33
d152537f-4d1f-424d-ae87-0b47ba3fdecf,10.0,690.14
d5d71a7f-38fc-47d9-b357-cd9df8338427,59.06,432.76
d90f1bff-f93f-431f-8320-88f374ddeb66,1021.0199999999999,
e2171784-4a16-4618-b1cf-09798ba5f9a9,146.55,
e714a246-9cf1-484b-a814-f84b1b6ba8d2,1191.1899999999998,
e8350ab3-81bc-4ec4-b59a-298a5e66cd67,352.36,710.97
e9701af2-7e84-4a3f-97d7-6217b49b1084,432.44,
e9cfc736-1a14-47a8-bda4-dbe1bef91bb2,62.06,
eafdda30-7c28-4608-bb49-1a32fa4fcdae,850.8499999999999,
ed775ecd-b9dc-415e-8079-b59d6f18dfa4,1391.7000000000003,781.5
ee09070e-71d8-45b8-8ad1-43e3804efaeb,510.51,
ef413924-7084-4aa4-83d6-00ae464a09d3,5970.0,1945.05
f1585c81-6923-41bd-b5fb-2ba4ae6604ce,378.0,1191.19
f60839ee-69e5-4cb1-97c3-bcc5f0a85403,510.0,
f81884a8-df23-4ef6-bd44-c4266cf6c001,2700.0,
f8636edb-894d-4d32-ab42-e41514fafc24,290.0,7861.2
f8e46355-4ad5-46a7-a185-4ec9fb31fda8,1966.1999999999996,
fb7ede08-533b-4e29-b3e8-9ab85790557e,298.68,2587.32
fbf802ab-4b7c-48e9-bac2-54322108fd46,52.62,1972.55
fcc9e86d-2302-4d05-8348-002f87c3ae43,2700.0,
feacba28-8d78-419a-bcdf-1d2330310aa6,558.54,
fef70746-f2dd-40c6-8e98-78511fbf04a3,476.48,
ff879840-7911-4836-a1aa-e9c05846f509,4003.9999999999986,11914.63
ffafa84f-a642-4381-8ae4-3ee02781f209,275.67,
